ano,n,media,desvio_padrao,p01,p05,p10,p20,p25,p50,p75,p90,p95,p99,p90_p10,p90_p50,p50_p10,variavel_renda,nivel_observacao,cobertura_ufs
1994,9647264,6.0169236262219,8.14935371527826,0.93,1.04,1.26,1.66,1.89,3.22,6.45,13.58,20.79,42.47,10.7777777777778,4.21739130434783,2.55555555555556,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
1995,15869180,6.8543581142819,8.85568149327462,0.95,1.12,1.41,1.98,2.23,3.84,7.53,15.24,23.35,46.6,10.8085106382979,3.96875,2.72340425531915,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
1996,14863885,6.6391991474638,8.61716386367975,0.94,1.14,1.42,1.97,2.23,3.77,7.22,14.57,22.33,45.33,10.2605633802817,3.86472148541114,2.65492957746479,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
1997,15003194,6.61035446652226,8.54440265152092,0.99,1.2,1.5,2.03,2.29,3.79,7.11,14.35,22.11,45.07,9.56666666666667,3.78627968337731,2.52666666666667,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
1998,14891245,6.46694737276836,8.47074474938297,0.99,1.21,1.49,2,2.25,3.69,6.91,13.85,21.73,44.75,9.29530201342282,3.75338753387534,2.47651006711409,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
1999,15913198,6.08666158304573,8.12507359741729,0.99,1.16,1.42,1.9,2.12,3.45,6.4,12.91,20.53,43.06,9.09154929577465,3.74202898550725,2.42957746478873,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2000,15582949,5.86019966438959,7.93405916619398,0.99,1.14,1.38,1.84,2.05,3.31,6.14,12.27,19.7,42.05,8.89130434782609,3.70694864048338,2.39855072463768,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2001,17459058,5.4685557227658,8.33069256987694,0.95,1.1,1.3,1.68,1.88,2.95,5.51,11.2,18.24,41.64,8.61538461538462,3.79661016949153,2.26923076923077,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2002,18342015,5.00453060200856,7.64063578404925,0.92,1.07,1.25,1.59,1.77,2.73,5.05,10.08,16.32,38.04,8.064,3.69230769230769,2.184,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2003,17898853,4.62232604625556,7.09116756006667,0.9,1.05,1.19,1.51,1.65,2.54,4.65,9.21,15,34.96,7.73949579831933,3.6259842519685,2.13445378151261,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
