ano,item,tipo,ufs,status,origem,arquivo_7z,arquivos_lidos,observacoes_renda
1994,AC,uf,AC,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/AC1994.7z,1,25166
1994,AL,uf,AL,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/AL1994.7z,1,143748
1994,AM,uf,AM,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/AM1994.7z,1,125705
1994,AP,uf,AP,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/AP1994.7z,1,18509
1994,BA,uf,BA,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/BA1994.7z,1,557097
1994,CE,uf,CE,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/CE1994.7z,1,320557
1994,DF,uf,DF,falhou_arquivo,download_temp,,0,0
1994,ES,uf,ES,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/ES1994.7z,1,266717
1994,GO,uf,GO,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/GO1994.7z,1,290242
1994,MA,uf,MA,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/MA1994.7z,1,127247
1994,MG,uf,MG,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/MG1994.7z,1,1559785
1994,MS,uf,MS,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/MS1994.7z,1,166227
1994,MT,uf,MT,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/MT1994.7z,1,147423
1994,PA,uf,PA,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/PA1994.7z,1,214377
1994,PB,uf,PB,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/PB1994.7z,1,122813
1994,PE,uf,PE,falhou_arquivo,download_temp,,0,0
1994,PI,uf,PI,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/PI1994.7z,1,94192
1994,PR,uf,PR,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/PR1994.7z,1,911228
1994,RJ,uf,RJ,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/RJ1994.7z,1,1768773
1994,RN,uf,RN,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/RN1994.7z,1,128065
1994,RO,uf,RO,ok,download_temp,/tmp/RtmpQRudZG/rais_streaming_20876/download/1994/RO1994.7z,1,63306
