ano,n,media,desvio_padrao,p01,p05,p10,p20,p25,p50,p75,p90,p95,p99,p90_p10,p90_p50,p50_p10,variavel_renda,nivel_observacao,cobertura_ufs
1994,13873324,6.66788236330385,8.5695321476496,0.97,1.12,1.4,1.94,2.19,3.77,7.38,14.78,22.36,44.48,10.5571428571429,3.92042440318302,2.69285714285714,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
1995,15403954,6.90249746136609,8.89188968360484,0.95,1.13,1.42,2,2.25,3.88,7.6,15.35,23.48,46.81,10.8098591549296,3.95618556701031,2.73239436619718,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
1996,10924708,6.97473004129722,8.79635446632518,0.95,1.21,1.54,2.15,2.42,4.05,7.66,15.23,23.15,46.32,9.88961038961039,3.76049382716049,2.62987012987013,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
1997,14841512,6.52043390794685,8.44100626421927,0.99,1.17,1.47,2,2.26,3.75,7.02,14.15,21.79,44.41,9.62585034013605,3.77333333333333,2.55102040816327,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
1998,15448661,6.41443262882136,8.44191272037433,0.99,1.17,1.45,1.97,2.21,3.65,6.85,13.79,21.63,44.57,9.51034482758621,3.77808219178082,2.51724137931035,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
1999,15367621,6.14702236344845,8.1706248174823,1,1.17,1.44,1.92,2.15,3.49,6.48,13.04,20.69,43.29,9.05555555555556,3.73638968481375,2.42361111111111,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2000,16057392,5.83551107489934,7.92552845959489,0.99,1.14,1.37,1.82,2.04,3.29,6.1,12.23,19.66,42.02,8.92700729927007,3.71732522796353,2.4014598540146,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2001,15319282,5.62934190453573,8.5256267732523,0.96,1.12,1.34,1.74,1.94,3.04,5.66,11.55,18.86,42.69,8.61940298507463,3.79934210526316,2.26865671641791,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2002,15433678,4.9959349436991,7.56465333257331,0.9,1.07,1.26,1.61,1.8,2.76,5.07,10,16.14,37.72,7.93650793650794,3.6231884057971,2.19047619047619,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2003,18617810,4.58285758958762,7.02062250674843,0.89,1.05,1.19,1.51,1.65,2.52,4.59,9.1,14.83,34.57,7.64705882352941,3.61111111111111,2.11764705882353,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2004,12860873,4.09380996608862,6.24777699921384,0.89,1.03,1.16,1.4,1.53,2.25,4.04,8.03,13.1,30.89,6.92241379310345,3.56888888888889,1.93965517241379,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2005,12260096,3.47620480622664,5.12421575385645,0.85,1,1.09,1.3,1.4,2.03,3.46,6.52,10.47,25.37,5.98165137614679,3.21182266009852,1.86238532110092,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2006,14925947,3.53265972805612,5.40319580718538,0.86,1.01,1.08,1.27,1.36,1.97,3.42,6.82,11.08,26.55,6.31481481481482,3.46192893401015,1.82407407407407,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2007,16791101,3.34040857118303,5.05412998731056,0.82,1,1.07,1.23,1.32,1.89,3.23,6.39,10.3,25.11,5.97196261682243,3.38095238095238,1.76635514018692,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2008,16118348,3.34961797015426,5.01468486759789,0.82,1.01,1.08,1.25,1.34,1.91,3.23,6.4,10.25,25.01,5.92592592592593,3.35078534031414,1.76851851851852,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2009,17059538,3.16305751421873,4.77932102403037,0.8,1,1.05,1.19,1.27,1.79,3.02,6.04,9.74,23.9,5.75238095238095,3.37430167597765,1.7047619047619,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2010,18044742,3.10217213745699,4.45538115251718,0.78,1,1.05,1.21,1.3,1.81,3,5.9,9.43,22.63,5.61904761904762,3.25966850828729,1.72380952380952,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2011,15918620,2.99367002918595,4.14287521039533,0.78,1,1.05,1.2,1.28,1.79,2.92,5.66,8.97,21.46,5.39047619047619,3.16201117318436,1.7047619047619,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2012,17534105,2.94624635075471,4.00781662227553,0.78,1,1.06,1.22,1.31,1.81,2.92,5.45,8.53,20.18,5.14150943396226,3.01104972375691,1.70754716981132,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2013,17656145,2.88129035018686,3.77057386395321,0.78,1,1.05,1.19,1.28,1.78,2.89,5.36,8.41,19.31,5.10476190476191,3.01123595505618,1.6952380952381,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2014,21511234,3.08735789634384,4.07012958053182,0.77,1.01,1.09,1.27,1.37,1.91,3.08,5.81,9.06,20.95,5.3302752293578,3.04188481675393,1.75229357798165,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2015,18051491,3.10971039455965,4.16425412341485,0.75,1.01,1.09,1.27,1.37,1.91,3.07,5.89,9.21,21.21,5.40366972477064,3.08376963350785,1.75229357798165,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2016,14143036,3.03321498863469,4.0287246760723,0.74,1,1.08,1.25,1.33,1.84,2.99,5.76,9.14,20.73,5.33333333333333,3.1304347826087,1.7037037037037,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2017,16841131,2.96470256243479,3.84843340436991,0.75,1.01,1.08,1.26,1.34,1.84,2.93,5.54,8.74,19.89,5.12962962962963,3.01086956521739,1.7037037037037,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2018,4251590,3.23242240902815,4.11673326768679,0.84,1.02,1.11,1.29,1.38,1.92,3.16,6.54,10.25,21.92,5.89189189189189,3.40625,1.72972972972973,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2019,1562690,2.77943435998183,3.45300243865635,0.86,1,1.06,1.21,1.28,1.73,2.77,5.28,8.04,17.93,4.9811320754717,3.05202312138728,1.63207547169811,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2020,4155683,3.04461793885626,3.99420898993706,0.5,0.87,1,1.18,1.26,1.78,2.95,6.25,9.93,21.06,6.25,3.51123595505618,1.78,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2021,4382995,2.84987385566262,3.65553798886331,0.48,0.87,1,1.17,1.26,1.75,2.81,5.48,8.81,19.61,5.48,3.13142857142857,1.75,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
2022,4830404,3.36560280879198,6.03618771511206,0.47,0.86,1,1.17,1.25,1.79,3.02,6.67,10.84,26.03,6.67,3.72625698324022,1.79,remuneracao_media_sm,vinculo_ano,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
