ano,percentil,renda_sm,renda_base,indice_1994_100,desvio_log_1994,n
1994,p20,1.66,1.66,100,0,9647264
1995,p20,1.98,1.66,119.277108433735,0.176279242337992,15869180
1996,p20,1.97,1.66,118.674698795181,0.171215940381445,14863885
1997,p20,2.03,1.66,122.289156626506,0.201218190685244,15003194
1998,p20,2,1.66,120.481927710843,0.186329578191493,14891245
1999,p20,1.9,1.66,114.457831325301,0.135036283803943,15913198
2000,p20,1.84,1.66,110.843373493976,0.102947969252442,15582949
2001,p20,1.68,1.66,101.204819277108,0.0119761910467157,17459058
2002,p20,1.59,1.66,95.7831325301205,-0.0430835861363116,18342015
2003,p20,1.51,1.66,90.9638554216867,-0.0947079515416189,17898853
2004,p20,1.56,1.66,93.9759036144578,-0.0621317811070061,17316907
2005,p20,1.34,1.66,80.7228915662651,-0.214147988405632,14113665
2006,p20,1.24,1.66,74.6987951807229,-0.291706222751506,13645441
2007,p20,1.2,1.66,72.289156626506,-0.324496045574497,14321637
2008,p20,1.2,1.66,72.289156626506,-0.324496045574497,15287903
2009,p20,1.2,1.66,72.289156626506,-0.324496045574497,18690502
2010,p20,1.21,1.66,72.8915662650603,-0.316197242759802,16482096
2011,p20,1.25,1.66,75.3012048192771,-0.283674051054242,19224131
2012,p20,1.21,1.66,72.8915662650603,-0.316197242759802,20229526
2013,p20,1.22,1.66,73.4939759036145,-0.307966743623287,19588810
2014,p20,1.26,1.66,75.9036144578313,-0.275705881405065,22722013
2015,p20,1.25,1.66,75.3012048192771,-0.283674051054242,15888735
2016,p20,1.26,1.66,75.9036144578313,-0.275705881405065,18614106
2017,p20,1.27,1.66,76.5060240963856,-0.267800701897952,17952384
1994,p50,3.22,3.22,100,0,9647264
1995,p50,3.84,3.22,119.254658385093,0.176091007043319,15869180
1996,p50,3.77,3.22,117.080745341615,0.157693641903602,14863885
1997,p50,3.79,3.22,117.701863354037,0.162984659538018,15003194
1998,p50,3.69,3.22,114.596273291925,0.136245098496119,14891245
1999,p50,3.45,3.22,107.142857142857,0.0689928714869514,15913198
2000,p50,3.31,3.22,102.795031055901,0.0275668298326546,15582949
2001,p50,2.95,3.22,91.6149068322981,-0.0875761892045885,17459058
2002,p50,2.73,3.22,84.7826086956522,-0.165079750359449,18342015
2003,p50,2.54,3.22,78.8819875776398,-0.237217278525872,17898853
2004,p50,2.58,3.22,80.1242236024845,-0.221591960622791,17316907
2005,p50,2.12,3.22,65.8385093167702,-0.417965270872396,14113665
2006,p50,1.93,3.22,59.9378881987578,-0.511861356639523,13645441
2007,p50,1.83,3.22,56.832298136646,-0.565065392702987,14321637
2008,p50,1.83,3.22,56.832298136646,-0.565065392702987,15287903
2009,p50,1.81,3.22,56.2111801242236,-0.576054514278583,18690502
2010,p50,1.81,3.22,56.2111801242236,-0.576054514278583,16482096
2011,p50,1.87,3.22,58.0745341614907,-0.543442928689822,19224131
2012,p50,1.8,3.22,55.9006211180124,-0.581594694654198,20229526
2013,p50,1.82,3.22,56.5217391304348,-0.570544858467613,19588810
2014,p50,1.9,3.22,59.0062111801242,-0.527527473383922,22722013
2015,p50,1.88,3.22,58.3850931677019,-0.538109582714459,15888735
2016,p50,1.87,3.22,58.0745341614907,-0.543442928689822,18614106
2017,p50,1.86,3.22,57.7639751552795,-0.548804871831207,17952384
1994,p90,13.58,13.58,100,0,9647264
1995,p90,15.24,13.58,112.223858615611,0.11532542812795,15869180
1996,p90,14.57,13.58,107.290132547865,0.0703664980765635,14863885
1997,p90,14.35,13.58,105.670103092784,0.0551518200750802,15003194
1998,p90,13.85,13.58,101.988217967599,0.0196871105027978,14891245
1999,p90,12.91,13.58,95.0662739322533,-0.0505959172719988,15913198
2000,p90,12.27,13.58,90.3534609720177,-0.10144086340773,15582949
2001,p90,11.2,13.58,82.4742268041237,-0.192684343829501,17459058
2002,p90,10.08,13.58,74.2268041237114,-0.298044859487328,18342015
2003,p90,9.21,13.58,67.820324005891,-0.388308271863334,17898853
2004,p90,9.19,13.58,67.6730486008837,-0.390482185762954,17316907
2005,p90,7.44,13.58,54.7864506627393,-0.601727273285549,14113665
2006,p90,6.38,13.58,46.980854197349,-0.755430024773852,13645441
2007,p90,6.37,13.58,46.9072164948454,-0.756998652546478,14321637
2008,p90,6.33,13.58,46.6126656848306,-0.763297885974465,15287903
2009,p90,6.01,13.58,44.2562592047128,-0.815173373583434,18690502
2010,p90,5.99,13.58,44.1089837997055,-0.818506710003192,16482096
2011,p90,5.94,13.58,43.740795287187,-0.826888988755996,19224131
2012,p90,5.38,13.58,39.6170839469809,-0.925909747956857,20229526
2013,p90,5.38,13.58,39.6170839469809,-0.925909747956857,19588810
2014,p90,5.75,13.58,42.3416789396171,-0.859398267321291,22722013
2015,p90,6,13.58,44.1826215022091,-0.816838652902495,15888735
2016,p90,5.63,13.58,41.4580265095729,-0.880488679978951,18614106
2017,p90,5.55,13.58,40.8689248895434,-0.894800194372207,17952384
1994,p95,20.79,20.79,100,0,9647264
1995,p95,23.35,20.79,112.313612313612,0.116124882244985,15869180
1996,p95,22.33,20.79,107.407407407407,0.071458963982145,14863885
1997,p95,22.11,20.79,106.349206349206,0.0615578929994336,15003194
1998,p95,21.73,20.79,104.521404521405,0.0442216923984167,14891245
1999,p95,20.53,20.79,98.7493987493988,-0.012584870839079,15913198
2000,p95,19.7,20.79,94.7570947570948,-0.0538534661259789,15582949
2001,p95,18.24,20.79,87.7344877344877,-0.130855117223736,17459058
2002,p95,16.32,20.79,78.4992784992785,-0.242080752333961,18342015
2003,p95,15,20.79,72.1500721500722,-0.326421900767711,17898853
2004,p95,14.86,20.79,71.4766714766715,-0.335799062580308,17316907
2005,p95,12.14,20.79,58.3934583934584,-0.537966316238569,14113665
2006,p95,10.31,20.79,49.5911495911496,-0.701357803841053,13645441
2007,p95,10.32,20.79,49.6392496392496,-0.700388341816505,14321637
2008,p95,10.21,20.79,49.1101491101491,-0.711104469693347,15287903
2009,p95,9.67,20.79,46.5127465127465,-0.765443792404719,18690502
2010,p95,9.57,20.79,46.031746031746,-0.775838896405058,16482096
2011,p95,9.45,20.79,45.4545454545455,-0.78845736036427,19224131
2012,p95,8.4,20.79,40.4040404040404,-0.906240396020653,20229526
2013,p95,8.4,20.79,40.4040404040404,-0.906240396020653,19588810
2014,p95,8.97,20.79,43.1457431457432,-0.840586425799217,22722013
2015,p95,9.51,20.79,45.7431457431458,-0.782128225312623,15888735
2016,p95,8.83,20.79,42.4723424723425,-0.856317087254053,18614106
2017,p95,8.73,20.79,41.991341991342,-0.86770673201841,17952384
1994,p10,1.26,1.26,100,0,9647264
1995,p10,1.41,1.26,111.904761904762,0.11247798342669,15869180
1996,p10,1.42,1.26,112.698412698413,0.119545150649783,14863885
1997,p10,1.5,1.26,119.047619047619,0.174353387144778,15003194
1998,p10,1.49,1.26,118.253968253968,0.167664398993981,14891245
1999,p10,1.42,1.26,112.698412698413,0.119545150649783,15913198
2000,p10,1.38,1.26,109.52380952381,0.0909717782057266,15582949
2001,p10,1.3,1.26,103.174603174603,0.0312525435041044,17459058
2002,p10,1.25,1.26,99.2063492063492,-0.00796816964917688,18342015
2003,p10,1.19,1.26,94.4444444444444,-0.0571584138399487,17898853
2004,p10,1.25,1.26,99.2063492063492,-0.00796816964917688,17316907
2005,p10,1.12,1.26,88.8888888888889,-0.117783035656383,14113665
2006,p10,1.07,1.26,84.9206349206349,-0.163453072489572,13645441
2007,p10,1.06,1.26,84.1269841269841,-0.172842812839411,14321637
2008,p10,1.05,1.26,83.3333333333333,-0.182321556793955,15287903
2009,p10,1.06,1.26,84.1269841269841,-0.172842812839411,18690502
2010,p10,1.05,1.26,83.3333333333333,-0.182321556793955,16482096
2011,p10,1.08,1.26,85.7142857142857,-0.154150679827258,19224131
2012,p10,1.06,1.26,84.1269841269841,-0.172842812839411,20229526
2013,p10,1.06,1.26,84.1269841269841,-0.172842812839411,19588810
2014,p10,1.08,1.26,85.7142857142857,-0.154150679827258,22722013
2015,p10,1.07,1.26,84.9206349206349,-0.163453072489572,15888735
2016,p10,1.08,1.26,85.7142857142857,-0.154150679827258,18614106
2017,p10,1.09,1.26,86.5079365079365,-0.144934024722334,17952384
1994,p25,1.89,1.89,100,0,9647264
1995,p25,2.23,1.89,117.989417989418,0.165424756400476,15869180
1996,p25,2.23,1.89,117.989417989418,0.165424756400476,14863885
1997,p25,2.29,1.89,121.164021164021,0.191974988494597,15003194
1998,p25,2.25,1.89,119.047619047619,0.174353387144778,14891245
1999,p25,2.12,1.89,112.169312169312,0.11483925961237,15913198
2000,p25,2.05,1.89,108.465608465608,0.0812629640787658,15582949
2001,p25,1.88,1.89,99.4708994708995,-0.00530505222969324,17459058
2002,p25,1.77,1.89,93.6507936507937,-0.0655972824858132,18342015
2003,p25,1.65,1.89,87.3015873015873,-0.135801541159062,17898853
2004,p25,1.71,1.89,90.4761904761905,-0.100083458556983,17316907
2005,p25,1.45,1.89,76.7195767195767,-0.265013272639068,14113665
2006,p25,1.33,1.89,70.3703703703704,-0.351397886837889,13645441
2007,p25,1.28,1.89,67.7248677248677,-0.389716751140025,14321637
2008,p25,1.28,1.89,67.7248677248677,-0.389716751140025,15287903
2009,p25,1.29,1.89,68.2539682539683,-0.38193461069797,18690502
2010,p25,1.29,1.89,68.2539682539683,-0.38193461069797,16482096
2011,p25,1.34,1.89,70.8994708994709,-0.343907215108731,19224131
2012,p25,1.3,1.89,68.7830687830688,-0.37421256460406,20229526
2013,p25,1.31,1.89,69.3121693121693,-0.366549691858491,19588810
2014,p25,1.36,1.89,71.957671957672,-0.32909212932359,22722013
2015,p25,1.34,1.89,70.8994708994709,-0.343907215108731,15888735
2016,p25,1.36,1.89,71.957671957672,-0.32909212932359,18614106
2017,p25,1.35,1.89,71.4285714285714,-0.336472236621213,17952384
1994,p75,6.45,6.45,100,0,9647264
1995,p75,7.53,6.45,116.744186046512,0.154814911004121,15869180
1996,p75,7.22,6.45,111.937984496124,0.112774822097054,14863885
1997,p75,7.11,6.45,110.232558139535,0.0974221130074684,15003194
1998,p75,6.91,6.45,107.131782945736,0.0688895069718976,14891245
1999,p75,6.4,6.45,99.2248062015504,-0.00778214044205483,15913198
2000,p75,6.14,6.45,95.1937984496124,-0.04925538864863,15582949
2001,p75,5.51,6.45,85.4263565891473,-0.157515507642858,17459058
2002,p75,5.05,6.45,78.2945736434109,-0.244691887520413,18342015
2003,p75,4.65,6.45,72.093023255814,-0.327212911208416,17898853
2004,p75,4.59,6.45,71.1627906976744,-0.340200106735227,17316907
2005,p75,3.76,6.45,58.2945736434109,-0.539661173405878,14113665
2006,p75,3.3,6.45,51.1627906976744,-0.670157662335247,13645441
2007,p75,3.15,6.45,48.8372093023256,-0.716677677970139,14321637
2008,p75,3.14,6.45,48.6821705426357,-0.719857330887519,15287903
2009,p75,3.03,6.45,46.9767441860465,-0.755517511286404,18690502
2010,p75,3.02,6.45,46.8217054263566,-0.758823299420903,16482096
2011,p75,3.06,6.45,47.4418604651163,-0.745665214843392,19224131
2012,p75,2.89,6.45,44.8062015503876,-0.80282362868334,20229526
2013,p75,2.92,6.45,45.2713178294574,-0.792496514527491,19588810
2014,p75,3.05,6.45,47.2868217054264,-0.748938540188361,22722013
2015,p75,3.06,6.45,47.4418604651163,-0.745665214843392,15888735
2016,p75,2.99,6.45,46.3565891472868,-0.768806743405086,18614106
2017,p75,2.96,6.45,45.8914728682171,-0.778890862471712,17952384
1994,p99,42.47,42.47,100,0,9647264
1995,p99,46.6,42.47,109.724511419826,0.0928025968064201,15869180
1996,p99,45.33,42.47,106.734165293148,0.065171120627578,14863885
1997,p99,45.07,42.47,106.121968448316,0.0594188923773769,15003194
1998,p99,44.75,42.47,105.368495408524,0.0522935003956846,14891245
1999,p99,43.06,42.47,101.389215917118,0.0137965476110371,15913198
2000,p99,42.05,42.47,99.011066635272,-0.009938557906223,15582949
2001,p99,41.64,42.47,98.0456793030375,-0.0197367005784117,17459058
2002,p99,38.04,42.47,89.5691076053685,-0.11015970664799,18342015
2003,p99,34.96,42.47,82.3169295973628,-0.194593393537845,17898853
2004,p99,34.46,42.47,81.1396279726866,-0.208998713225396,17316907
2005,p99,29.27,42.47,68.9192371085472,-0.372234843621385,14113665
2006,p99,25.12,42.47,59.1476336237344,-0.525133602725182,13645441
2007,p99,25.45,42.47,59.9246526960207,-0.512082201328648,14321637
2008,p99,25.2098000000045,42.47,59.3590769955369,-0.52156513651642,15287903
2009,p99,23.61,42.47,55.5921827172122,-0.587127593227759,18690502
2010,p99,22.98,42.47,54.1087826701201,-0.61417367190457,16482096
2011,p99,22.49,42.47,52.9550270779374,-0.635727178353956,19224131
2012,p99,19.83,42.47,46.6917824346598,-0.761602001793476,20229526
2013,p99,19.2,42.47,45.2083823875677,-0.793887665291444,19588810
2014,p99,20.74,42.47,48.8344713915705,-0.716733741523799,22722013
2015,p99,21.8,42.47,51.3303508358842,-0.666887974530137,15888735
2016,p99,19.88,42.47,46.8095125971274,-0.759083743096752,18614106
2017,p99,19.72,42.47,46.432776077231,-0.767164595150691,17952384
